Unnamed: 0,mol_id,SMILES,hlm_value_unscaled,hlm_value_unscaled_log1p,hlm_value_scaled,hlm_value_scaled_log1p,dataset,scaling_was_applied,SMILES_standardized,SMILES_std_reason
0,fang_1,CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nn2c(C(=O)N[C@@H]3C[C@@H]3F)cnc12,4.73900000328012,1.7472849796977743,4.73900000328012,1.7472849796977743,fang_dataset,False,CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nn2c(C(=O)N[C@@H]3C[C@@H]3F)cnc12,
1,fang_2,CCOc1cc2nn(CCC(C)(C)O)cc2cc1NC(=O)c1cccc(C(F)F)n1,4.73900000328012,1.7472849796977743,4.73900000328012,1.7472849796977743,fang_dataset,False,CCOc1cc2nn(CCC(C)(C)O)cc2cc1NC(=O)c1cccc(C(F)F)n1,
2,fang_3,CN(c1ncc(F)cn1)[C@H]1CCCNC1,4.73900000328012,1.7472849796977743,4.73900000328012,1.7472849796977743,fang_dataset,False,CN(c1ncc(F)cn1)[C@H]1CCCNC1,
3,fang_4,CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O,4.73900000328012,1.7472849796977743,4.73900000328012,1.7472849796977743,fang_dataset,False,CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)[O-],
4,fang_5,CC(C)(O)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,9.91699999467014,2.390321206809916,9.91699999467014,2.390321206809916,fang_dataset,False,CC(C)(O)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,
5,fang_6,CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,24.965999989848434,3.2567879895471057,24.965999989848434,3.2567879895471057,fang_dataset,False,CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,
6,fang_7,CC(C)NCC(O)COc1cccc2ccccc12,21.243770352439487,3.1020619852493434,21.243770352439487,3.1020619852493434,fang_dataset,False,CC(C)NCC(O)COc1cccc2ccccc12,
7,fang_8,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,28.71199997850153,3.3915510038867884,28.71199997850153,3.3915510038867884,fang_dataset,False,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)[N-]C(=O)NC2CCCCC2)cc1,
8,fang_9,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,570.8210761718673,6.348826138551118,570.8210761718673,6.348826138551118,fang_dataset,False,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,
9,fang_10,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,42.73899996093009,3.778240151725481,42.73899996093009,3.778240151725481,fang_dataset,False,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[n-]ncc4c3)c3ccccc3n2)c1,
