,mol_id,SMILES,hlm_value_unscaled,hlm_value_unscaled_log10,hlm_value_scaled,hlm_value_scaled_log10_low,hlm_value_scaled_log10_high,dataset,scaling_was_applied
0,fang_1,CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nn2c(C(=O)N[C@@H]3C[C@@H]3F)cnc12,4.73900000328012,0.675686709,4.73900000328012,0.675686709,0.675686709,fang_dataset,False
1,fang_2,CCOc1cc2nn(CCC(C)(C)O)cc2cc1NC(=O)c1cccc(C(F)F)n1,4.73900000328012,0.675686709,4.73900000328012,0.675686709,0.675686709,fang_dataset,False
2,fang_3,CN(c1ncc(F)cn1)[C@H]1CCCNC1,4.73900000328012,0.675686709,4.73900000328012,0.675686709,0.675686709,fang_dataset,False
3,fang_4,CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O,4.73900000328012,0.675686709,4.73900000328012,0.675686709,0.675686709,fang_dataset,False
4,fang_5,CC(C)(O)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,9.91699999467014,0.996380313,9.91699999467014,0.996380313,0.996380313,fang_dataset,False
5,fang_6,CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,24.965999989848434,1.397348966,24.965999989848434,1.397348966,1.397348966,fang_dataset,False
6,fang_7,CC(C)NCC(O)COc1cccc2ccccc12,21.243770352439487,1.327231598,21.243770352439487,1.327231598,1.327231598,fang_dataset,False
7,fang_8,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,28.71199997850153,1.458063445,28.71199997850153,1.458063445,1.458063445,fang_dataset,False
8,fang_9,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,570.8210761718673,2.7565,570.8210761718673,2.7565,2.7565,fang_dataset,False
9,fang_10,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,42.73899996093009,1.630824356,42.73899996093009,1.630824356,1.630824356,fang_dataset,False
10,fang_11,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,4.73900000328012,0.675686709,4.73900000328012,0.675686709,0.675686709,fang_dataset,False
11,fang_12,COc1ccc(S(=O)(=O)N2CCC(N3CCC(C)CC3)CC2)cc1,15.787000001174611,1.198299609,15.787000001174611,1.198299609,1.198299609,fang_dataset,False
12,fang_13,CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,100.95099992248878,2.004110625,100.95099992248878,2.004110625,2.004110625,fang_dataset,False
13,fang_14,CC1(C)CC[C@]2(NC(=O)C(C)(F)F)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]3(C)CC[C@H]3C(C)(C)C(=O)C(C#N)=C[C@]43C)[C@@H]2C1,76.70499995228427,1.884823674,76.70499995228427,1.884823674,1.884823674,fang_dataset,False
14,fang_15,Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,14.31799999730268,1.155882358,14.31799999730268,1.155882358,1.155882358,fang_dataset,False
15,fang_16,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,36.65600001305536,1.564145072,36.65600001305536,1.564145072,1.564145072,fang_dataset,False
