,mol_id,SMILES,hlm_value_unscaled,hlm_value_unscaled_log10,hlm_value_scaled,hlm_value_scaled_log10_low,hlm_value_scaled_log10_high,dataset,scaling_was_applied
7249,CHEMBL306457,NC(=O)C(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C1(O)CCCCC1,47.7,1.6875289612146342,,1.6875289612146342,1.6875289612146342,chembl_dataset,False
7250,CHEMBL66457,CC(C)(O)CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(N)=O,4.9,0.7708520116421442,,0.7708520116421442,0.7708520116421442,chembl_dataset,False
7251,CHEMBL304053,CC(C)(O)CCC(C[C@H](O)[C@H](Cc1ccccc1F)NC(=O)c1cnc2ccccc2n1)C(N)=O,16.5,1.2430380486862944,,1.2430380486862944,1.2430380486862944,chembl_dataset,False
7252,CHEMBL68366,CC(C)(F)CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(N)=O,8.0,0.9542425094393248,,0.9542425094393248,0.9542425094393248,chembl_dataset,False
7253,CHEMBL303673,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)CC(C(=O)NO)C1CCC(F)(F)CC1)c1cnc2ccccc2n1,6.1,0.8512583487190752,,0.8512583487190752,0.8512583487190752,chembl_dataset,False
7254,CHEMBL71499,CN1CCN(C(=O)C(CCC(C)(C)F)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)c2cnc3ccccc3n2)CC1,647.0,2.8115750058705933,,2.8115750058705933,2.8115750058705933,chembl_dataset,False
7255,CHEMBL68692,CC(C)(F)CCC(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(=O)N1CCCC1,836.0,2.92272545799326,,2.92272545799326,2.92272545799326,chembl_dataset,False
7256,CHEMBL66159,CC(C)(F)CCC(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(=O)NN,32.7,1.5276299008713388,,1.5276299008713388,1.5276299008713388,chembl_dataset,False
7257,CHEMBL68937,CNC(=O)[C@H](CC(C)C)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)c1cnc2ccccc2c1,560.0,2.7489628612561616,,2.7489628612561616,2.7489628612561616,chembl_dataset,False
7258,CHEMBL304358,CC(C)CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(N)=O,202.0,2.307496037913213,,2.307496037913213,2.307496037913213,chembl_dataset,False
7259,CHEMBL65784,CC(C)(F)CCC(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(=O)NCc1ccccc1,299.0,2.4771212547196626,,2.4771212547196626,2.4771212547196626,chembl_dataset,False
